Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m,P009.df,P009.f,P009.ip_a,P009.ip_m,P009.vp_a,P009.vp_m
0.333,5.877472e-39,59.993,147.7462,1.20404551118635,146.0174,1.071546,5.877472e-39,59.993,-27.0063,8.73901194691027,145.8094,1.01934260869565,5.877472e-39,59.993,164.0056,2.93985573503306,148.6531,1.0727338,5.877472e-39,59.993,126.214,1.94840127394231,145.7976,1.071007,0.01,59.995,5.174719,1.63978510190848,162.974,1.04719043478261,5.877472e-39,59.993,-23.34389,8.52783528950413,145.2145,1.0536198,0.01,59.995,171.0513,3.04203630573376,162.786,1.04767797101449,5.877472e-39,59.993,-177.5252,0.888695350779304,144.0047,1.0634892,5.877472e-39,59.993,142.1754,3.63195032877224,145.3462,1.060107
0.367,0.01,59.994,147.0356,1.2087939284753,145.9434,1.0718686,0.01,59.994,-27.04845,8.73484497907742,145.7334,1.01960782608696,0.01,59.994,164.0809,2.93586595599782,148.5784,1.0729924,0.01,59.994,126.0175,1.95884727236275,145.7269,1.071365,5.877472e-39,59.995,5.050465,1.64040476906565,162.9072,1.04726405797101,0.01,59.994,-23.3838,8.52341855994483,145.141,1.0538994,5.877472e-39,59.995,170.9892,3.0435033094665,162.7202,1.0476884057971,0.01,59.994,-177.8476,0.887138237103299,143.9304,1.0637062,0.01,59.994,142.0613,3.63500220229517,145.2698,1.060354
0.4,5.877472e-39,59.994,147.3902,1.20639677015763,145.8658,1.0717002,5.877472e-39,59.994,-27.16011,8.73295669728701,145.6571,1.01956695652174,5.877472e-39,59.994,163.8527,2.94000209332629,148.4979,1.0728786,5.877472e-39,59.994,126.0346,1.95332722643903,145.6459,1.0711722,5.877472e-39,59.994,4.875325,1.64312664360848,162.8385,1.04718927536232,5.877472e-39,59.994,-23.46819,8.52792449012072,145.0654,1.0537808,5.877472e-39,59.995,170.8651,3.04644867052502,162.6515,1.04761739130435,5.877472e-39,59.994,-178.0585,0.888872019961676,143.8519,1.063589,5.877472e-39,59.994,141.9802,3.63292114324988,145.1912,1.0602026
0.433,-0.01,59.993,146.9202,1.20133052154549,145.785,1.0718124,-0.01,59.993,-27.22049,8.73309612737702,145.5756,1.01956,-0.01,59.993,163.9277,2.93600278801162,148.417,1.0729212,5.877472e-39,59.993,125.856,1.95827309752004,145.5652,1.07129,5.877472e-39,59.995,4.751439,1.64376543260656,162.7915,1.0469231884058,-0.01,59.993,-23.54294,8.52429670970427,144.9849,1.0538514,5.877472e-39,59.995,170.7924,3.04224724354136,162.6045,1.04735420289855,5.877472e-39,59.993,-178.0585,0.888872019961676,143.7724,1.063691,5.877472e-39,59.993,141.8177,3.62878154181979,145.1146,1.0602994
0.467,5.877472e-39,59.993,147.2768,1.19891777477054,145.7023,1.0715262,5.877472e-39,59.993,-27.32716,8.73478522332456,145.494,1.01940086956522,5.877472e-39,59.993,163.6998,2.94017010225463,148.3414,1.0727838,5.877472e-39,59.993,126.0346,1.95332722643903,145.4857,1.0710394,0.01,59.995,4.599836,1.65006368895812,162.733,1.04696376811594,-0.01,59.993,-23.65254,8.52146913676091,144.9059,1.0537072,0.01,59.995,170.7413,3.04940897052176,162.546,1.04739826086957,5.877472e-39,59.993,-178.0585,0.888872019961676,143.6919,1.0634868,5.877472e-39,59.993,141.8177,3.62878154181979,145.0327,1.060123
0.5,-0.04,59.993,147.7462,1.20404551118635,145.608,1.0712146,-0.03,59.993,-27.44279,8.73865739610996,145.4019,1.01915565217391,-0.03,59.993,163.4684,2.93653799171116,148.2511,1.0725784,-0.05,59.993,126.0517,1.94780804654071,145.388,1.070705,-0.01,59.994,4.572228,1.65571718073632,162.6671,1.04697507246377,-0.03,59.993,-23.75685,8.5238455104689,144.8131,1.0534496,-0.01,59.995,170.7074,3.05418465029043,162.4764,1.04739855072464,-0.03,59.993,-177.7364,0.890410947104201,143.5998,1.063265,-0.04,59.993,141.7852,3.63393439297231,144.9405,1.0598612
0.533,0.01,59.993,147.3902,1.20639677015763,145.5289,1.0712712,5.877472e-39,59.992,-27.52238,8.7339486427845,145.3152,1.01918782608696,5.877472e-39,59.993,163.394,2.94056760791497,148.172,1.0725668,0.01,59.993,126.0346,1.95332722643903,145.3104,1.070705,0.01,59.995,4.544798,1.66137007495698,162.6086,1.04701797101449,5.877472e-39,59.993,-23.82098,8.53061609707568,144.7309,1.0534352,0.01,59.995,170.6736,3.05896092761662,162.4224,1.04739246376812,5.877472e-39,59.993,-177.9467,0.892138667784751,143.5183,1.0632828,5.877472e-39,59.993,141.7039,3.63187844866372,144.8606,1.059935
0.567,5.877472e-39,59.993,147.7462,1.20404551118635,145.4478,1.0710838,0.01,59.993,-27.61484,8.737091795385,145.237,1.0190647826087,5.877472e-39,59.993,163.2411,2.94079883669778,148.0896,1.0725246,5.877472e-39,59.993,125.8893,1.94723127362179,145.2276,1.0705856,0.01,59.995,4.3001,1.66269605511297,162.5533,1.04679246376812,5.877472e-39,59.993,-23.91051,8.5300471183854,144.6467,1.0533314,0.01,59.995,170.612,3.06045004097791,162.3627,1.0472231884058,5.877472e-39,59.993,-177.7364,0.890410947104201,143.4363,1.0631486,5.877472e-39,59.993,141.6225,3.62982943255837,144.7785,1.0597654
0.6,5.877472e-39,59.993,146.9202,1.20133052154549,145.3655,1.071269,-0.01,59.993,-27.67519,8.7373069160953,145.1522,1.01919391304348,5.877472e-39,59.993,163.2411,2.94079883669778,148.0088,1.0725778,5.877472e-39,59.993,125.7106,1.95219186713467,145.142,1.0707476,-0.01,59.995,4.323145,1.66624375416033,162.4866,1.04687507246377,-0.01,59.993,-24.00003,8.5294989243048,144.5613,1.0534468,-0.01,59.995,170.5616,3.06762073132125,162.2968,1.04724231884058,5.877472e-39,59.993,-178.0585,0.888872019961676,143.3519,1.0632972,-0.01,59.993,141.5902,3.63499007793952,144.6936,1.0598772
0.633,0.04,59.994,146.4474,1.20875582335753,145.2969,1.071883,0.03,59.994,-27.69829,8.73809967574992,145.0852,1.0196247826087,0.02,59.993,163.394,2.94056760791497,147.9308,1.0729742,0.04,59.994,125.3558,1.96217021183707,145.0784,1.0713332,-0.01,59.995,4.175203,1.67257487617597,162.4236,1.04697391304348,0.02,59.993,-24.02016,8.5273243345159,144.4933,1.0538618,-0.01,59.995,170.5727,3.07329812540058,162.2338,1.04734492753623,0.03,59.993,-178.5914,0.889126631430389,143.2781,1.0636838,0.03,59.993,141.4274,3.63091975854173,144.621,1.0603232
