Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m
0.533,0.0001780316,59.97658,18.7708,9.22311521128097,18.88529,1.01231391304348,-0.001729243,59.97619,21.33149,5.62937495389393,27.70278,1.03879739130435,-0.002873875,59.97617,21.01063,5.6791586667176,27.67414,1.03865971014493,0.003077276,59.97661,11.07555,5.37930728664811,11.52246,1.02169913043478
0.567,5.877472e-39,59.97658,18.48113,9.21654207846625,18.59492,1.01232057971014,-0.007807463,59.97598,21.01063,5.62554580525059,27.40485,1.03886637681159,-0.006891936,59.97598,20.68405,5.67149917431586,27.37619,1.03865971014493,5.877472e-39,59.9765,10.77762,5.37675392332835,11.23025,1.02176782608696
0.6,-0.01152031,59.9763,18.20162,9.21211417717924,18.30197,1.01230173913043,-0.01129154,59.97564,20.71842,5.62554580525059,27.11264,1.03893536231884,-0.01019798,59.97567,20.37466,5.66767002567252,27.07826,1.0387284057971,-0.007095337,59.97638,10.47967,5.37420115756612,10.94377,1.02176782608696
0.633,-0.01019787,59.97589,17.91007,9.20961041113436,18.0064,1.01225797101449,-0.009307824,59.97528,20.43768,5.62554580525059,26.80897,1.03893536231884,-0.008697622,59.97533,20.07672,5.66767002567252,26.78033,1.0387284057971,-0.01457222,59.9762,10.176,5.37420115756612,10.65156,1.02183710144928
0.667,-0.004704706,59.97568,17.6194,9.20373642062811,17.71345,1.01229246376812,-0.004679337,59.9751,20.13974,5.62171605904972,26.5053,1.03900405797101,-0.004577637,59.97515,19.7845,5.6638414745867,26.47665,1.03879739130435,-0.005009919,59.976,9.872344,5.37420115756612,10.36508,1.02183710144928
0.7,-0.003916696,59.97555,17.31667,9.19983436996628,17.41787,1.01230231884058,-0.001653135,59.97501,19.82461,5.61788691040638,26.20737,1.03900405797101,-0.002619512,59.97504,19.45219,5.66001113082831,26.17872,1.03879739130435,-0.002721101,59.97584,9.580134,5.3716483918039,10.06714,1.02183710144928
0.733,-0.004323497,59.97541,16.99043,9.19967302943355,17.11721,1.01214086956522,-0.001373291,59.97499,19.49803,5.61788631284885,25.90942,1.03893536231884,-0.003585778,59.97494,19.12561,5.65618198218496,25.87505,1.0387284057971,-0.002822913,59.97548,9.287926,5.36909502848414,9.77493,1.02169913043478
0.767,-0.006713904,59.97523,16.69757,9.20177045635898,16.81379,1.01195710144928,-0.002543181,59.9749,19.18863,5.61788631284885,25.60575,1.03879739130435,-0.00129696,59.97489,18.82194,5.66001113082831,25.57138,1.03859072463768,-0.003586002,59.97529,9.001436,5.36909502848414,9.471275,1.02162985507246
0.8,-0.00488285,59.97503,16.4054,9.20050363439832,16.51281,1.01194898550725,0.001983717,59.9749,18.92507,5.62171605904972,25.3021,1.0387284057971,0.0004831329,59.97488,18.52973,5.66001172838583,25.27345,1.03859072463768,-0.006764755,59.97533,8.714968,5.36909502848414,9.173326,1.02163014492754
0.833,-0.002110675,59.97495,16.09068,9.19939815297039,16.21465,1.01192115942029,0.003128126,59.975,18.64433,5.62171605904972,25.00415,1.03865971014493,0.002110787,59.97494,18.24325,5.66001113082831,24.9755,1.03852173913043,-0.001958236,59.97528,8.428483,5.36909502848414,8.881121,1.02156115942029
0.867,-0.003382377,59.97486,15.79806,9.20223655123129,15.91376,1.01187130434783,0.0007628649,59.97506,18.3292,5.62171605904972,24.70622,1.03852144927536,0.001195371,59.97501,17.95677,5.66384087702918,24.67757,1.03845275362319,-0.003534816,59.97525,8.12481,5.36654166516439,8.577448,1.02156115942029
0.9,-0.0005340949,59.97478,15.48316,9.20527811905192,15.61018,1.01170231884058,0.001856536,59.97509,18.02553,5.62171605904972,24.40828,1.03838376811594,0.003357008,59.97508,17.65884,5.66767062323004,24.37962,1.03824579710145,-0.004094392,59.97488,7.83834,5.36654166516439,8.279514,1.0214231884058
0.933,0.002873652,59.97488,15.17975,9.20680786632517,15.31206,1.01146492753623,0.00246685,59.9752,17.7505,5.62554580525059,24.11608,1.0381768115942,0.002772063,59.97519,17.34371,5.66767002567252,24.08741,1.03803913043478,0.0001017004,59.97488,7.563314,5.36654166516439,7.975843,1.02121652173913
0.967,-0.0007883459,59.9749,14.8877,9.21038723592155,15.01657,1.01130376811594,NaN,NaN,NaN,NaN,NaN,NaN,0.00358589,59.97532,17.06296,5.67149917431586,23.78948,1.03783217391304,-8.895993e-05,59.97514,7.276843,5.36909502848414,7.67791,1.02107855072464
1,-0.002873763,59.97486,14.58474,9.21602817899164,14.70994,1.01117043478261,-0.001220852,59.97528,17.17182,5.62554580525059,23.52592,1.03790115942029,-0.001830943,59.9753,16.81086,5.67532892051673,23.49154,1.03769420289855,-0.001818202,59.97487,6.973173,5.37164779424637,7.374239,1.02094057971014
1.033,-0.004526898,59.97473,14.28215,9.22192607179903,14.39493,1.01101884057971,-0.0002034009,59.97526,16.86242,5.62937495389393,23.22225,1.03769420289855,-0.0003560632,59.97527,16.51291,5.6791586667176,23.1936,1.03748753623188,-0.002377778,59.9744,6.663782,5.37164779424637,7.064847,1.02080260869565
1.067,-0.009384155,59.97443,13.96856,9.22630616848375,14.08255,1.01084811594203,-0.003280677,59.97517,16.54729,5.6332047000948,22.92431,1.03755652173913,-0.002390519,59.9752,16.20352,5.68298901047599,22.88993,1.03734956521739,-0.007057227,59.97405,6.365835,5.36909502848414,6.749716,1.02073391304348
1.1,-0.0139619,59.97398,13.66726,9.23633915938914,13.76454,1.01070985507246,-0.004857481,59.97501,16.23216,5.63703444629567,22.61492,1.03734985507246,-0.006205179,59.97501,15.90559,5.68681815911934,22.58628,1.03714289855072,-0.01074459,59.97371,6.067899,5.36909502848414,6.434586,1.02059594202899
1.133,-0.01246143,59.97355,13.35511,9.24486630532242,13.44093,1.0106052173913,-0.007680394,59.97479,15.92851,5.63703384873815,22.30553,1.0372115942029,-0.008036345,59.97478,15.59619,5.69447645640602,22.27687,1.03700463768116,-0.01115162,59.97363,5.747045,5.3716483918039,6.113731,1.02045797101449
1.167,5.877472e-39,59.97355,13.02892,9.23749842099464,13.14223,1.01056753623188,5.877472e-39,59.97477,15.62484,5.63703444629567,22.00758,1.03714260869565,5.877472e-39,59.97475,15.28106,5.69447645640602,21.97894,1.03693594202899,-1.117587e-07,59.97486,5.443376,5.37420115756612,5.810061,1.02052695652174
1.2,0.02474472,59.97404,12.74525,9.22292399287181,12.88258,1.01072637681159,0.008799322,59.97491,15.32689,5.62937495389393,21.73257,1.03734956521739,NaN,NaN,NaN,NaN,NaN,NaN,0.001233369,59.97622,5.15689,5.37930728664811,5.546511,1.02066492753623
1.233,0.04603051,59.97549,12.47239,9.21030357786755,12.62832,1.01080463768116,0.02632152,59.97566,15.0175,5.62171605904972,21.46901,1.03755652173913,0.02601609,59.97565,14.76539,5.67532951807426,21.43462,1.03741855072464,0.03449745,59.97641,4.881878,5.38186005241033,5.28867,1.02073391304348
1.267,0.03939316,59.97679,12.17855,9.20528409462721,12.35491,1.01096695652174,0.02586365,59.97649,14.7654,5.62171665660725,21.19398,1.03769420289855,0.02695709,59.97651,14.47319,5.67149977187339,21.16534,1.03755652173913,0.03425583,59.97634,4.595395,5.37930728664811,5.019385,1.02073362318841
1.3,0.0282288,59.97781,11.88073,9.18968784313046,12.09524,1.0110915942029,0.01851395,59.97721,14.49611,5.61405716420551,20.9247,1.03790115942029,0.01904815,59.97725,14.17525,5.66767002567252,20.89605,1.03769420289855,0.03331516,59.97728,4.320383,5.37930728664811,4.755819,1.02094057971014
1.333,0.01739502,59.97842,11.6044,9.17412146951013,11.86062,1.01126144927536,0.01009628,59.97755,14.22108,5.6063982693613,20.67259,1.03810782608696,0.009536818,59.97759,13.90597,5.66001172838583,20.64395,1.03790115942029,0.016683,59.97818,4.079742,5.37930668909058,4.515178,1.02100956521739
1.367,0.003509559,59.97889,11.354,9.16935296043181,11.61764,1.01140811594203,0.01116436,59.97801,13.9518,5.60256852316043,20.42049,1.03824579710145,0.009129792,59.978,13.63667,5.65618198218496,20.38611,1.03803913043478,0.02395637,59.97821,3.82764,5.37930728664811,4.268816,1.02100956521739
1.4,-0.009841919,59.97849,11.08391,9.17220928541858,11.34684,1.01150637681159,-0.004526898,59.97792,13.68823,5.60256912071796,20.15121,1.0383147826087,-0.003967211,59.97789,13.35019,5.66001113082831,20.11682,1.03810782608696,-0.01272842,59.97812,3.546877,5.37930728664811,3.993792,1.02100956521739
1.433,-0.00353504,59.97836,10.7915,9.17553768085294,11.06213,1.01159565217391,5.877472e-39,59.97789,13.41322,5.6063982693613,19.86472,1.03838376811594,-0.001627542,59.97783,13.09809,5.66384087702918,19.83607,1.03817710144928,-0.003318787,59.97776,3.260406,5.37930728664811,3.707319,1.02114753623188
1.467,-0.01075745,59.97812,10.53565,9.1840767779368,10.79144,1.01174028985507,-0.004679337,59.97776,13.14392,5.61022801556217,19.59543,1.03852173913043,-0.003255084,59.97775,12.85171,5.66767002567252,19.56105,1.0383147826087,-0.008913763,59.97766,2.979659,5.37930728664811,3.432293,1.0212852173913
1.5,-0.01012154,59.97761,10.3027,9.19250233909021,10.52888,1.01184782608696,-0.004552156,59.97755,12.90328,5.61405716420551,19.33187,1.03859043478261,-0.00246685,59.9776,12.59963,5.66767002567252,19.30322,1.03838376811594,-0.01991272,59.97778,2.710368,5.37675452088588,3.16873,1.02135420289855
1.533,-0.003738329,59.97752,10.05802,9.19943998199739,10.26386,1.01202927536232,-0.002034567,59.97752,12.65118,5.61405716420551,19.0683,1.03865971014493,-0.002415888,59.97754,12.34752,5.67149977187339,19.03966,1.03845275362319,-0.0005339831,59.97785,2.435344,5.37675452088588,2.899443,1.02149217391304
1.567,0.008036345,59.97761,9.779119,9.20523629002492,9.995469,1.01209072463768,0.00785809,59.97765,12.38189,5.61788631284885,18.79902,1.03865942028985,0.008392297,59.9777,12.08968,5.67532951807426,18.77037,1.03852173913043,-0.002822913,59.97768,2.154597,5.37675392332835,2.630154,1.02156115942029
1.6,0.002873652,59.97773,9.525076,9.2144984317184,9.724113,1.01213014492754,0.004119873,59.97786,12.12979,5.62171605904972,18.53546,1.0387284057971,0.001805685,59.97784,11.82612,5.67532892051673,18.50108,1.03852173913043,0.007769242,59.97738,1.891034,5.37675452088588,2.360855,1.02163014492754
1.633,0.002008975,59.97783,9.281592,9.22196192525075,9.458277,1.0121831884058,0.002085306,59.97794,11.87196,5.62937495389393,18.2719,1.03879768115942,0.001627542,59.97789,11.56829,5.6791586667176,18.23752,1.03859072463768,0.006065369,59.9775,1.633208,5.37420115756612,2.097306,1.02169913043478
1.667,-0.004425086,59.97769,9.033843,9.2224160689725,9.189453,1.01221420289855,-0.002619289,59.97788,11.61986,5.62554580525059,18.0026,1.03886637681159,-0.001729243,59.97783,11.31047,5.68298841291847,17.97396,1.03865971014493,0.00144951,59.97771,1.375368,5.37420115756612,1.828006,1.02176782608696
1.7,-0.004475936,59.97754,8.753903,9.22541580776612,8.912714,1.0123315942029,-0.003560297,59.97778,11.3563,5.62171605904972,17.73332,1.03886637681159,-0.001525953,59.97777,11.03544,5.68298841291847,17.69894,1.03865971014493,-0.005785637,59.97753,1.106079,5.37420115756612,1.552993,1.02176782608696
1.733,-0.004831776,59.97739,8.498961,9.23182162447284,8.637868,1.01232173913043,-0.003789291,59.97765,11.07555,5.62554580525059,17.45829,1.03886637681159,-0.003102534,59.9777,10.77762,5.68298841291847,17.42392,1.03865942028985,-0.001322441,59.97724,0.8310574,5.37164779424637,1.277973,1.02176782608696
1.767,-0.005365983,59.97722,8.24174,9.23482136326647,8.36302,1.01233507246377,-0.008824803,59.97741,10.77762,5.62171605904972,17.18328,1.03886637681159,-0.00851959,59.97745,10.50831,5.6791586667176,17.1489,1.0387284057971,-0.004399493,59.97703,0.5560446,5.3716483918039,1.002944,1.02183710144928
1.8,-0.004119873,59.97705,7.979218,9.23084163012591,8.085782,1.01242637681159,-0.005544014,59.97719,10.50259,5.62171605904972,16.90826,1.03893536231884,-0.006485023,59.97721,10.22757,5.6791586667176,16.87388,1.0387284057971,-0.008189008,59.97691,0.2810214,5.37164779424637,0.7279343,1.02190579710145
1.833,-0.001576692,59.97697,7.716476,9.22705311539452,7.805516,1.01249884057971,-0.003662109,59.97705,10.22757,5.61788691040638,16.62751,1.03893536231884,-0.004247054,59.97705,9.941097,5.67532951807426,16.59886,1.03879739130435,-0.002466738,59.9771,0.01173266,5.36909502848414,0.4529101,1.0219747826087
1.867,-0.0003814325,59.97697,7.453524,9.22346179464756,7.530771,1.01258289855072,-0.00246685,59.97697,9.952557,5.61788631284885,16.34676,1.03900434782609,-0.002746582,59.97696,9.666072,5.67532951807426,16.31812,1.03886637681159,5.877472e-39,59.97741,-0.2518289,5.36654166516439,0.177886,1.0219747826087
1.9,-0.001182519,59.97694,7.18078,9.22209936348233,7.249864,1.01260666666667,-0.005899966,59.9768,9.677535,5.61405716420551,16.06027,1.03907333333333,-0.006154552,59.97678,9.373864,5.67149977187339,16.03163,1.03893536231884,0.0001015887,59.9774,-0.5211179,5.36654166516439,-0.09712521,1.02204376811594
