Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m,P009.df,P009.f,P009.ip_a,P009.ip_m,P009.vp_a,P009.vp_m
0,5.877472e-39,60.008,24.34866,4.31250180846844,167.4122,1.00073411764706,5.877472e-39,60.007,48.73034,1.87662554747012,-172.7407,1.00812379084967,5.877472e-39,60.008,-22.82425,2.14601432807691,154.327,1.0225452173913,0.01,60.006,-2.305184,3.08172623266869,168.2488,1.02167895424837,5.877472e-39,60.007,-0.7719432,21.2510898578455,174.97,1.00431450980392,5.877472e-39,60.008,175.7438,1.0385619129296,135.6959,1.0530618,5.877472e-39,60.007,-29.03307,4.02555174740319,168.2022,1.01860928104575,5.877472e-39,60.008,-179.6996,1.43707625903521,154.3652,1.02266608695652,0.01,60.006,177.3112,3.94513336452936,167.748,1.03113072463768
0.033,5.877472e-39,60.008,24.47108,4.30591248963892,167.506,1.0007062745098,5.877472e-39,60.007,48.77617,1.87662554747012,-172.6548,1.00812379084967,5.877472e-39,60.008,-22.71636,2.14459632406152,154.4162,1.02252869565217,5.877472e-39,60.006,-2.447184,3.08411789172505,168.3258,1.02185973856209,5.877472e-39,60.007,-0.6840386,21.2450345216197,175.0577,1.00438875816993,5.877472e-39,60.008,175.8583,1.04162244670658,135.7959,1.0531502,5.877472e-39,60.007,-28.79141,4.02587372698806,168.2805,1.01872745098039,5.877472e-39,60.008,-179.6118,1.43836638573948,154.4541,1.02271942028986,-0.01,60.006,177.4112,3.94294510885959,167.8268,1.03122376811594
0.067,5.877472e-39,60.008,24.63753,4.30395808680893,167.5952,1.0007231372549,5.877472e-39,60.007,48.85638,1.87237886199885,-172.5689,1.00805908496732,-0.01,60.008,-22.65908,2.14294108970727,154.5012,1.02257768115942,5.877472e-39,60.006,-2.349566,3.07408352383928,168.3993,1.02181712418301,5.877472e-39,60.007,-0.5917218,21.2447960182235,175.1385,1.00426562091503,5.877472e-39,60.008,176.0826,1.03441538329628,135.898,1.0531092,5.877472e-39,60.006,-28.63416,4.03744776679821,168.3543,1.01868392156863,-0.01,60.008,-179.4009,1.44445250916839,154.543,1.02277507246377,5.877472e-39,60.006,177.4454,3.93841263500507,167.8995,1.03121072463768
0.1,5.877472e-39,60.008,24.68111,4.30857577756318,167.6843,1.00074261437908,5.877472e-39,60.007,49.10276,1.87237886199885,-172.4944,1.00812379084967,5.877472e-39,60.007,-22.52013,2.14747953913707,154.5904,1.02256608695652,-0.01,60.006,-2.207034,3.07170643999046,168.4682,1.02181712418301,-0.01,60.007,-0.5050467,21.2483205684118,175.2196,1.0042891503268,-0.02,60.008,176.0826,1.03441538329628,135.9882,1.0530804,5.877472e-39,60.006,-28.55789,4.04890520494799,168.4223,1.01874431372549,5.877472e-39,60.007,-179.4882,1.44315461421625,154.628,1.02282753623188,5.877472e-39,60.006,177.5628,3.93397756302772,167.9637,1.03122260869565
0.133,-0.01,60.008,24.74258,4.30530563099747,167.7699,1.0007445751634,-0.01,60.007,49.06838,1.87662554747012,-172.4084,1.00812379084967,5.877472e-39,60.007,-22.57079,2.14723095520517,154.6757,1.02255101449275,5.877472e-39,60.006,-2.256184,3.07671501131071,168.5371,1.0218185620915,-0.01,60.007,-0.4339991,21.2534881419962,175.2991,1.00437333333333,5.877472e-39,60.008,176.4241,1.03030436070452,136.0795,1.0529884,5.877472e-39,60.006,-28.39997,4.05486513981531,168.4948,1.01876535947712,5.877472e-39,60.007,-179.2621,1.44355856310559,154.7097,1.02273942028985,-0.01,60.006,177.6805,3.92955862510364,168.0316,1.0312568115942
0.167,5.877472e-39,60.007,24.84756,4.30666775039356,167.8556,1.00074875816993,-0.01,60.007,49.16005,1.87237886199885,-172.334,1.00812379084967,-0.01,60.007,-22.31078,2.14659276376461,154.7569,1.02260144927536,5.877472e-39,60.006,-2.113693,3.0743498526317,168.6164,1.02188352941176,-0.01,60.007,-0.3559573,21.2455247786007,175.3783,1.00431464052288,5.877472e-39,60.008,176.5958,1.0282622728024,136.1722,1.0530506,5.877472e-39,60.006,-28.32001,4.05502679211718,168.5709,1.01880862745098,5.877472e-39,60.007,-178.984,1.44179696351124,154.7947,1.02279623188406,5.877472e-39,60.006,177.7655,3.92396608419336,168.1067,1.03133536231884
0.2,-0.01,60.007,24.90918,4.30341085401653,167.9377,1.00073529411765,-0.01,60.007,49.24599,1.87237886199885,-172.2537,1.00812379084967,5.877472e-39,60.007,-22.31078,2.14659276376461,154.8422,1.02259101449275,5.877472e-39,60.006,-2.06427,3.06934790640579,168.6899,1.02184758169935,5.877472e-39,60.007,-0.2792543,21.2470750506761,175.456,1.00431620915033,0.03,60.008,176.4241,1.03030436070452,136.2733,1.053088,5.877472e-39,60.006,-28.24252,4.06085555011659,168.6446,1.01877163398693,5.877472e-39,60.007,-179.0362,1.44398521918102,154.8839,1.02279275362319,5.877472e-39,60.006,177.7829,3.92170791429274,168.1806,1.0312631884058
0.233,5.877472e-39,60.007,25.0573,4.30943571480837,168.0198,1.00072392156863,5.877472e-39,60.007,49.29183,1.87237886199885,-172.1792,1.00805908496732,5.877472e-39,60.007,-22.20951,2.14710785835427,154.9244,1.02243942028986,5.877472e-39,60.006,-1.970983,3.07200324421685,168.7704,1.02165006535948,5.877472e-39,60.007,-0.2025787,21.2486518231287,175.5353,1.00426130718954,5.877472e-39,60.008,176.5375,1.0333891431928,136.3707,1.0531092,5.877472e-39,60.006,-28.32001,4.05502679211718,168.7253,1.01857307189542,5.877472e-39,60.007,-178.9494,1.44530044330149,154.966,1.02264231884058,5.877472e-39,60.006,177.8158,3.92289824888974,168.2605,1.03108347826087
0.267,5.877472e-39,60.007,25.11905,4.30619471865776,168.0972,1.00075607843137,5.877472e-39,60.006,49.42934,1.86813350154645,-172.1048,1.00812379084967,5.877472e-39,60.007,-22.1153,2.14952736878762,155.0052,1.02256463768116,5.877472e-39,60.006,-1.735,3.07235304919794,168.8484,1.02178209150327,5.877472e-39,60.007,-0.1301377,21.2444912638839,175.6114,1.00432522875817,-0.01,60.008,176.7683,1.02622971117971,136.4609,1.0530944,0.01,60.006,-28.16012,4.05537394706054,168.8082,1.01866352941176,-0.01,60.007,-178.7239,1.44575817236841,155.043,1.02276231884058,0.01,60.006,177.8662,3.92183280381622,168.3392,1.03118898550725
0.3,5.877472e-39,60.007,25.18089,4.30296034760148,168.1793,1.00074849673203,5.877472e-39,60.006,49.59551,1.87237886199885,-172.0246,1.00812379084967,5.877472e-39,60.007,-22.04356,2.14410154642783,155.0937,1.02270434782609,0.01,60.007,-1.634678,3.06238493225556,168.9439,1.02161150326797,5.877472e-39,60.007,-0.05765571,21.2403439548277,175.6907,1.00427411764706,-0.03,60.007,177.1152,1.02219316677268,136.5429,1.0531092,0.01,60.007,-28.31532,4.04370980596739,168.9039,1.01849163398693,0.01,60.007,-178.984,1.44179696351124,155.1315,1.0229031884058,0.01,60.006,177.8837,3.91957642658819,168.4398,1.03099130434783
