Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m,P009.df,P009.f,P009.ip_a,P009.ip_m,P009.vp_a,P009.vp_m,P010.df,P010.f,P010.ip_a,P010.ip_m,P010.vp_a,P010.vp_m,P011.df,P011.f,P011.ip_a,P011.ip_m,P011.vp_a,P011.vp_m,P012.df,P012.f,P012.ip_a,P012.ip_m,P012.vp_a,P012.vp_m,P013.df,P013.f,P013.ip_a,P013.ip_m,P013.vp_a,P013.vp_m
0.333,-0.02,59.979,-108.885,2.95404989140108,65.65237,1.061561,-0.03,59.979,72.30405,6.34108044175444,72.86575,1.0700586,-0.02,59.979,55.56726,1.710384584017,65.8028,1.062292,-0.02,59.979,75.29,3.61838923697437,68.1566,1.0634796,-0.03,59.979,-135.0076,2.01670123343717,66.38182,1.060808,-0.03,59.979,68.25599,6.14898994501723,66.24203,1.0613024,-0.02,59.979,89.36604,1.81895559081324,66.91449,1.063598,5.877472e-39,59.979,-53.53689,5.52797606638294,112.9581,1.00890104575163,-0.03,59.979,52.84666,1.18643055447337,62.4853,1.0527724,5.877472e-39,59.979,112.0925,15.099544012054,112.7185,1.00812392156863,-0.03,59.979,-117.4619,7.65646564295294,65.80463,1.0618912,-0.03,59.979,-126.7599,4.02271224929002,67.52156,1.0553194,-0.03,59.979,-113.5204,3.58464975326834,66.7719,1.0647166
0.367,0.03,59.98,-109.1775,2.96298294344112,65.42083,1.0616334,0.06,59.98,71.94995,6.34304718544644,72.63927,1.0704686,0.03,59.98,55.07288,1.7156716691071,65.56925,1.062409,0.06,59.98,74.87608,3.62881618283594,67.92809,1.0637516,0.03,59.98,-135.3923,2.02459765306888,66.14789,1.0608814,0.03,59.98,67.96564,6.15275628949829,66.00903,1.0614826,0.04,59.98,88.91688,1.82749633334536,66.6871,1.0637136,5.877472e-39,59.979,-53.71451,5.54071347275901,112.7059,1.00890104575163,0.03,59.98,52.59921,1.18428714159901,62.25727,1.0528116,5.877472e-39,59.979,111.8763,15.0955822056393,112.4689,1.00813908496732,0.03,59.98,-117.6245,7.64923519685674,65.57532,1.061896,0.03,59.98,-127.1014,4.03661282304617,67.29005,1.055445,0.05,59.98,-113.8729,3.5959687052958,66.54255,1.0648982
0.4,5.877472e-39,59.981,-109.3987,2.96777726007647,65.19057,1.0615704,5.877472e-39,59.981,71.74163,6.35218028935475,72.40906,1.0703616,5.877472e-39,59.981,54.99456,1.72069981260147,65.33398,1.0623516,5.877472e-39,59.981,74.62929,3.63934964982217,67.7052,1.0636832,5.877472e-39,59.981,-135.4319,2.02996874262315,65.91836,1.0608606,5.877472e-39,59.981,67.74812,6.15568432138848,65.77576,1.0613356,5.877472e-39,59.981,88.61977,1.83325193817892,66.45819,1.0636528,5.877472e-39,59.979,-54.09839,5.54071347275901,112.4539,1.00903058823529,5.877472e-39,59.981,52.74303,1.19154703255893,62.01971,1.0527576,5.877472e-39,59.979,111.5767,15.0983647452617,112.2112,1.00820156862745,5.877472e-39,59.981,-117.8799,7.64085466902432,65.33779,1.0618942,5.877472e-39,59.981,-127.2771,4.03742515487492,67.05714,1.0553948,5.877472e-39,59.981,-114.128,3.61175461635598,66.31091,1.0648074
0.433,-0.04,59.98,-109.5618,2.96056500051375,64.94383,1.0614796,-0.07,59.98,71.62938,6.34110728854196,72.16238,1.0699942,-0.04,59.98,54.82684,1.71836241003666,65.08743,1.0622492,-0.07,59.98,74.54626,3.63415436342487,67.45415,1.0634046,-0.04,59.98,-135.5051,2.01783139658911,65.67152,1.0607118,-0.04,59.98,67.59381,6.14990186976741,65.52988,1.0612944,-0.06,59.98,88.47192,1.83614792712917,66.20689,1.0634758,5.877472e-39,59.979,-54.3906,5.55345087913508,112.2075,1.00903058823529,-0.03,59.98,52.95117,1.18131840651484,61.77697,1.0527438,5.877472e-39,59.979,111.3603,15.0949196962054,111.9697,1.00822679738562,-0.04,59.98,-118.1226,7.64027010187676,65.09417,1.0618312,-0.05,59.98,-127.4226,4.03315045348184,66.80772,1.055307,-0.06,59.98,-114.1888,3.60442197926214,66.06504,1.064627
0.467,-0.02,59.979,-109.7952,2.95761358593766,64.68574,1.0613476,-0.04,59.978,71.37493,6.33103194899433,71.89191,1.0696214,-0.01,59.979,54.7362,1.71099686397747,64.82954,1.0621052,-0.04,59.979,74.37949,3.62378803934157,67.18736,1.0631864,-0.02,59.979,-135.7719,2.00970115009838,65.41119,1.0605754,-0.02,59.979,67.36667,6.14520281592648,65.27183,1.0611132,-0.02,59.979,88.47192,1.83614792712917,65.94731,1.063294,5.877472e-39,59.979,-54.52811,5.54920551868268,111.9497,1.00896588235294,-0.02,59.979,52.20348,1.1749254069841,61.52141,1.052605,5.877472e-39,59.979,111.1187,15.0970264762052,111.7104,1.00818705882353,-0.02,59.979,-118.4443,7.64636865277021,64.83924,1.061726,-0.02,59.979,-127.5811,4.01652449777998,66.54926,1.055116,-0.02,59.979,-114.3937,3.59062013240203,65.8027,1.064417
0.5,5.877472e-39,59.979,-109.9467,2.95828042549857,64.43776,1.0614498,5.877472e-39,59.978,71.12447,6.32891278483127,71.63844,1.0697424,5.877472e-39,59.979,54.49003,1.71373090617722,64.57962,1.0622528,5.877472e-39,59.978,74.17209,3.62133718744886,66.93606,1.063295,5.877472e-39,59.979,-136.0791,2.00700174891478,65.16388,1.0607154,5.877472e-39,59.979,67.13918,6.14059902487996,65.02161,1.061225,5.877472e-39,59.978,88.2335,1.83433533595905,65.69537,1.0634074,5.877472e-39,59.979,-54.80313,5.54071347275901,111.6918,1.00896588235294,5.877472e-39,59.979,52.15697,1.16255163601483,61.27794,1.052784,5.877472e-39,59.979,110.824,15.0889041105457,111.454,1.00812758169935,5.877472e-39,59.979,-118.7223,7.64321978440205,64.58923,1.0618728,5.877472e-39,59.979,-127.9043,4.01325178777908,66.30136,1.0552618,5.877472e-39,59.978,-114.6065,3.59019837803038,65.55106,1.0645418
0.533,0.04,59.98,-110.1669,2.96322716260499,64.1992,1.0614396,0.08,59.98,70.88407,6.34257173749976,71.40835,1.0698078,0.04,59.98,54.24464,1.71649699131691,64.34026,1.0621356,0.08,59.98,73.84433,3.63216337102157,66.70784,1.0633122,0.05,59.98,-136.2706,2.01106514010934,64.9273,1.0605928,0.04,59.98,66.8492,6.14497158714367,64.7882,1.0611526,0.06,59.98,87.99462,1.83255392170346,65.46336,1.0633802,5.877472e-39,59.979,-55.09534,5.54496015823028,111.4454,1.00896588235294,0.02,59.98,51.70054,1.17077627927457,61.03781,1.0526152,5.877472e-39,59.979,110.6073,15.0862143222441,111.2074,1.00819908496732,0.04,59.98,-118.9434,7.6383570517598,64.34978,1.061755,0.05,59.98,-128.0371,4.02145997655615,66.06455,1.0551486,0.07,59.98,-114.9211,3.59890453141463,65.31626,1.0644858
0.567,-0.01,59.98,-110.4691,2.96468208528334,63.95238,1.061428,5.877472e-39,59.981,70.66661,6.33647838275873,71.16716,1.0697092,5.877472e-39,59.98,54.0755,1.71422540668278,64.09668,1.0621514,5.877472e-39,59.981,73.63902,3.63506628817505,66.46547,1.063238,5.877472e-39,59.98,-136.4613,2.01515018193899,64.68125,1.0606188,5.877472e-39,59.98,66.59046,6.14504346725218,64.54228,1.0611898,5.877472e-39,59.98,87.70127,1.83846108098268,65.21796,1.0633636,0.01,59.979,-55.2443,5.54071347275901,111.1991,1.00890104575163,-0.02,59.98,51.44774,1.16873505739785,60.79506,1.052678,0.01,59.979,110.3533,15.0918589026209,110.9618,1.00810705882353,-0.01,59.98,-119.222,7.63553121086726,64.10612,1.0617702,5.877472e-39,59.98,-128.1839,4.01732210717687,65.81808,1.0551806,5.877472e-39,59.98,-115.1188,3.60375687175203,65.07414,1.0645206
0.6,-0.02,59.979,-110.7182,2.95411224523016,63.69626,1.0613212,-0.06,59.979,70.48695,6.33407862636485,70.90192,1.0695146,-0.02,59.979,53.90592,1.71196854448052,63.83869,1.06209,-0.07,59.979,73.42725,3.62232359038377,66.19847,1.0631052,-0.03,59.979,-136.6958,2.00177701765375,64.42292,1.0605086,-0.03,59.979,66.43483,6.13959789951319,64.28408,1.0610912,-0.04,59.979,87.60861,1.83377241944659,64.95518,1.0632258,5.877472e-39,59.979,-55.61673,5.54496015823028,110.9584,1.00903058823529,-0.01,59.979,51.03751,1.15954046568587,60.53941,1.0526196,-0.01,59.979,110.0912,15.0885596056401,110.7152,1.00821594771242,-0.02,59.979,-119.4648,7.63570528197342,63.84803,1.0617078,-0.03,59.979,-128.5813,4.01225845664094,65.5625,1.055112,-0.05,59.979,-115.3273,3.59016546906504,64.81163,1.0643948
0.633,-0.03,59.978,-110.8696,2.95490465847462,63.43289,1.0613128,-0.01,59.978,70.1596,6.32522438263656,70.63216,1.0695448,-0.02,59.978,53.73588,1.70972727073553,63.5755,1.0620694,5.877472e-39,59.978,73.25928,3.61739590583623,65.93444,1.0630358,-0.02,59.978,-137.0054,1.99925168757632,64.16035,1.0605344,-0.02,59.978,66.17588,6.13987156354078,64.01858,1.06109,-0.01,59.978,87.46242,1.83675154683561,64.69328,1.063206,0.01,59.979,-55.80008,5.54496015823028,110.7178,1.00883633986928,-0.02,59.978,50.87901,1.15237237341874,60.2786,1.0526066,0.01,59.979,109.827,15.0915673984699,110.4782,1.00803725490196,-0.02,59.978,-119.7076,7.63601531906797,63.58786,1.0617246,-0.02,59.978,-128.7001,4.00304654442089,65.30167,1.0550808,-0.01,59.978,-115.5554,3.58481776219667,64.54791,1.0644442
