Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m,P009.df,P009.f,P009.ip_a,P009.ip_m,P009.vp_a,P009.vp_m,P010.df,P010.f,P010.ip_a,P010.ip_m,P010.vp_a,P010.vp_m,P011.df,P011.f,P011.ip_a,P011.ip_m,P011.vp_a,P011.vp_m,P012.df,P012.f,P012.ip_a,P012.ip_m,P012.vp_a,P012.vp_m,P013.df,P013.f,P013.ip_a,P013.ip_m,P013.vp_a,P013.vp_m
117.933,5.877472e-39,59.961,72.06432,3.06509340072513,-113.8663,1.0607744,5.877472e-39,59.96,-106.2535,6.63783270661522,-106.3275,1.0674566,5.877472e-39,59.96,-122.4612,1.75257301156236,-113.6907,1.0617034,5.877472e-39,59.96,-103.9296,3.7812132712161,-111.2426,1.0622012,5.877472e-39,59.96,47.58549,2.13088581690074,-113.1219,1.0599004,-0.01,59.961,-111.009,6.29802685483071,-113.2643,1.0604274,5.877472e-39,59.96,-89.66115,1.88413612680367,-112.5416,1.0625086,5.877472e-39,59.96,128.1644,5.78272154386655,-64.87572,1.00799411764706,-0.01,59.961,-122.9141,1.36517819781448,-117.1068,1.0523354,5.877472e-39,59.96,-66.04127,15.4425913969249,-65.12002,1.00719424836601,5.877472e-39,59.961,62.51973,7.53642499570897,-113.7476,1.0612728,5.877472e-39,59.96,56.16275,4.2419110732165,-111.9613,1.0544084,5.877472e-39,59.96,67.69627,3.74553648868179,-112.6842,1.063699
117.967,5.877472e-39,59.96,71.47855,3.06686095857426,-114.341,1.0607996,5.877472e-39,59.96,-106.7952,6.63950326961912,-106.7985,1.067696,5.877472e-39,59.96,-123.1108,1.75483073979002,-114.165,1.0617016,5.877472e-39,59.96,-104.4061,3.78598940131797,-111.7103,1.0623512,5.877472e-39,59.96,46.97099,2.12959197494749,-113.5932,1.0599488,5.877472e-39,59.96,-111.4742,6.2996723030979,-113.7354,1.0604976,5.877472e-39,59.96,-90.32909,1.89042866738757,-113.0133,1.0626204,-0.01,59.96,127.6945,5.77847618341415,-65.35701,1.00799411764706,5.877472e-39,59.961,-123.5387,1.37008856185394,-117.5778,1.0522808,-0.01,59.96,-66.52322,15.4378610795669,-65.60149,1.00724339869281,5.877472e-39,59.961,62.08592,7.53318692672422,-114.2169,1.061264,5.877472e-39,59.96,55.62751,4.24733932044742,-112.4337,1.0544738,5.877472e-39,59.96,67.14123,3.75036891043491,-113.1561,1.0637358
118,5.877472e-39,59.961,70.96143,3.06475651684306,-114.8114,1.0607848,5.877472e-39,59.961,-107.269,6.64145182677763,-107.2697,1.0678128,0.01,59.961,-123.5966,1.75977314676942,-114.6371,1.0617162,5.877472e-39,59.961,-104.9209,3.78840561219453,-112.1792,1.0623782,5.877472e-39,59.961,46.49906,2.13011245621516,-114.0623,1.0600132,0.01,59.961,-111.9789,6.29831264321395,-114.2072,1.060543,5.877472e-39,59.961,-90.93489,1.88936085806471,-113.4834,1.0626522,-0.01,59.96,127.3164,5.77423082296175,-65.84975,1.00792941176471,5.877472e-39,59.961,-124.0577,1.37016737016569,-118.0488,1.0522974,-0.01,59.96,-67.02751,15.4333825157938,-66.08643,1.00716849673203,5.877472e-39,59.961,61.62962,7.53510690504441,-114.6892,1.0612866,5.877472e-39,59.961,55.02593,4.25078610155448,-112.9045,1.0544592,0.01,59.961,66.65506,3.74961287025741,-113.6279,1.0638448
118.033,-0.01,59.961,70.52256,3.0665050221333,-115.2869,1.0608588,-0.02,59.96,-107.7778,6.64012334380823,-107.7487,1.0679598,-0.01,59.961,-124.0006,1.75985195508117,-115.1123,1.0617636,-0.03,59.96,-105.4755,3.78329952641382,-112.6584,1.0625026,-0.02,59.96,45.88386,2.1292516269638,-114.5373,1.0600684,-0.02,59.961,-112.5238,6.29406392258299,-114.682,1.0606204,-0.03,59.96,-91.39758,1.8856075039647,-113.9587,1.0627706,-0.01,59.96,126.7377,5.77423082296175,-66.33104,1.00805908496732,5.877472e-39,59.961,-124.6871,1.36296550290781,-118.5229,1.0523488,-0.01,59.96,-67.49744,15.4283076935301,-66.57216,1.00725633986928,-0.01,59.961,61.23153,7.53563171643911,-115.1645,1.061342,-0.02,59.96,54.45634,4.24964814417391,-113.3827,1.0545854,-0.02,59.961,66.08971,3.74993416568221,-114.1035,1.0638892
118.067,5.877472e-39,59.96,70.00484,3.06486217194232,-115.7634,1.0609102,0.01,59.96,-108.2869,6.63931794018271,-108.2202,1.0680274,5.877472e-39,59.96,-124.6452,1.76264142290675,-115.5852,1.061827,5.877472e-39,59.961,-105.9496,3.78892262936059,-113.1279,1.0625768,5.877472e-39,59.96,45.51614,2.13693413832077,-115.0132,1.0601004,5.877472e-39,59.96,-112.9887,6.29706037048008,-115.1554,1.0606182,5.877472e-39,59.96,-91.9162,1.88962153171124,-114.4325,1.06281,5.877472e-39,59.96,126.2736,5.78696822933782,-66.81232,1.00799411764706,5.877472e-39,59.961,-124.9972,1.36562939704985,-118.9982,1.052378,5.877472e-39,59.96,-68.00222,15.4261479127756,-67.05118,1.00724784313725,5.877472e-39,59.961,60.70313,7.53277210055581,-115.6386,1.0613176,5.877472e-39,59.96,54.02322,4.25343700531547,-113.8572,1.0545772,5.877472e-39,59.96,65.66231,3.75708147333965,-114.5768,1.0639506
118.1,-0.01,59.96,69.56662,3.06700212071507,-116.2417,1.0608436,-0.01,59.96,-108.7285,6.63852206283663,-108.703,1.0678876,5.877472e-39,59.96,-124.9722,1.75791725432911,-116.0653,1.06179,-0.01,59.96,-106.3856,3.78689353183952,-113.61,1.0624624,-0.01,59.96,45.22898,2.13399138399871,-115.4961,1.0600314,-0.01,59.96,-113.4937,6.29716775763015,-115.635,1.0606104,5.877472e-39,59.96,-92.38068,1.88612971728319,-114.9111,1.0626902,-0.01,59.96,125.6834,5.78272154386655,-67.29933,1.00792941176471,-0.02,59.96,-125.306,1.36833312836047,-119.4813,1.0523148,-0.01,59.96,-68.5071,15.4251938991908,-67.54207,1.00714366013072,-0.01,59.96,60.21087,7.53334540937312,-116.1209,1.061346,5.877472e-39,59.96,53.55226,4.25016256326376,-114.3377,1.054561,5.877472e-39,59.96,65.20946,3.75412313056032,-115.0549,1.0638532
118.133,-0.01,59.96,69.04858,3.06582172808971,-116.7233,1.0608132,-0.01,59.96,-109.1387,6.63392173589173,-109.1887,1.0677786,-0.01,59.96,-125.5411,1.75598861575488,-116.5464,1.061732,-0.01,59.96,-106.7837,3.78238586961282,-114.0921,1.062423,5.877472e-39,59.96,44.6146,2.13363804563397,-115.9769,1.0599808,5.877472e-39,59.96,-113.9578,6.30102849888022,-116.1187,1.0605428,-0.01,59.96,-92.75548,1.88742788936346,-115.3949,1.062662,5.877472e-39,59.96,125.3225,5.79121358979022,-67.78635,1.00779986928105,5.877472e-39,59.96,-126.1317,1.37160497233597,-119.9644,1.0523266,5.877472e-39,59.96,-68.98748,15.4200793263612,-68.02722,1.00703359477124,5.877472e-39,59.96,59.69779,7.53929413787171,-116.5991,1.0613348,5.877472e-39,59.96,53.08062,4.2471756416461,-114.817,1.0544666,-0.01,59.96,64.82045,3.74532258040706,-115.5382,1.0638474
118.167,-0.01,59.96,68.61125,3.06835225431957,-117.2079,1.0608202,-0.01,59.959,-109.6848,6.63092702004544,-109.6769,1.067799,-0.01,59.96,-125.9456,1.75648831241287,-117.0306,1.0617114,-0.01,59.959,-107.3414,3.77847489888933,-114.5825,1.0624354,-0.01,59.96,44.14462,2.13487906003759,-116.463,1.060024,-0.01,59.96,-114.433,6.29755920111266,-116.6024,1.0605506,-0.01,59.96,-93.22197,1.88416124154038,-115.8819,1.062671,-0.01,59.96,124.6922,5.77847618341415,-68.27909,1.00805908496732,-0.01,59.96,-126.1317,1.37160497233597,-120.4489,1.052319,-0.01,59.96,-69.47819,15.4127784723996,-68.51939,1.0072585620915,-0.02,59.96,59.20615,7.54100193996797,-117.0887,1.0613426,-0.02,59.96,52.67747,4.24661359115905,-115.3037,1.0545198,-0.01,59.96,64.24006,3.74168787178738,-116.0245,1.063879
118.2,5.877472e-39,59.96,68.15723,3.06326868519936,-117.6885,1.0607864,0.01,59.96,-110.1269,6.63137995133162,-110.1523,1.0678264,5.877472e-39,59.96,-126.4223,1.76216077880765,-117.5097,1.0617452,0.02,59.96,-107.8506,3.78785655208853,-115.0552,1.0624178,5.877472e-39,59.96,43.67522,2.13626383465824,-116.9449,1.060028,5.877472e-39,59.96,-114.9087,6.2945237820724,-117.0821,1.0605182,0.01,59.96,-93.73677,1.88871653516429,-116.3564,1.0626606,0.01,59.96,124.1651,5.78696822933782,-68.76038,1.00805908496732,5.877472e-39,59.96,-126.8624,1.37005478686319,-120.9264,1.0522996,0.01,59.96,-69.97946,15.4033575882496,-69.00163,1.00725320261438,5.877472e-39,59.96,58.75532,7.53353073880953,-117.5691,1.0612906,0.01,59.96,52.17662,4.24930000196159,-115.7839,1.0544782,0.01,59.96,63.78407,3.75280850399737,-116.5016,1.0638524
118.233,0.03,59.96,67.65699,3.0705554229468,-118.164,1.0608052,0.04,59.961,-110.5623,6.64003847331866,-110.6158,1.0676606,0.02,59.96,-126.6595,1.76504291135145,-117.9847,1.0617366,0.04,59.961,-108.2739,3.80245687437093,-115.5185,1.062341,0.03,59.961,43.31694,2.14446682728289,-117.4144,1.0600068,0.03,59.96,-115.3591,6.3073634747089,-117.5545,1.060481,0.03,59.961,-94.15474,1.89801418389932,-116.8268,1.062608,-0.01,59.96,123.7354,5.79121358979022,-69.24739,1.00805908496732,0.02,59.96,-127.469,1.37597753459967,-121.4036,1.0521992,-0.01,59.96,-70.44032,15.408034904853,-69.48851,1.00721934640523,0.03,59.96,58.22643,7.53367623107736,-118.0392,1.061269,0.02,59.96,51.81528,4.25642392693312,-116.259,1.0544916,0.02,59.961,63.37783,3.76619985481609,-116.9746,1.0637844
118.267,5.877472e-39,59.96,67.13918,3.07029907942728,-118.6407,1.0608022,-0.02,59.961,-111.0338,6.64558969615692,-111.0939,1.06779,-0.01,59.96,-127.2276,1.76362869186707,-118.463,1.0617646,-0.02,59.961,-108.7511,3.79915731758251,-115.9994,1.0624464,-0.01,59.96,42.85024,2.14610361529604,-117.8923,1.0600418,5.877472e-39,59.96,-115.8343,6.30517329646273,-118.0321,1.0605376,-0.01,59.961,-94.62086,1.89512339110149,-117.3075,1.0626684,5.877472e-39,59.96,123.2885,5.79121358979022,-69.73441,1.00799411764706,5.877472e-39,59.96,-127.7704,1.37899649915727,-121.8811,1.052326,5.877472e-39,59.959,-70.93188,15.4040863486269,-69.97495,1.00716679738562,5.877472e-39,59.96,57.81165,7.52980942764946,-118.5177,1.0613054,5.877472e-39,59.96,51.24664,4.25765368300649,-116.7351,1.054482,-0.01,59.961,62.87742,3.76241792187776,-117.4496,1.0638466
118.3,-0.01,59.96,66.62132,3.07029388327486,-119.127,1.0607664,-0.02,59.96,-111.5496,6.64033811810837,-111.5789,1.067714,-0.01,59.96,-127.6981,1.76962678381368,-118.9488,1.061701,-0.02,59.96,-109.1868,3.79853984146961,-116.4833,1.06234,-0.01,59.96,42.38428,2.14788243147542,-118.3776,1.0599834,-0.02,59.96,-116.3099,6.30341613091846,-118.5173,1.060501,-0.01,59.96,-95.22566,1.89555380572717,-117.7904,1.0626134,5.877472e-39,59.96,122.7614,5.79121358979022,-70.22142,1.00799411764706,-0.02,59.96,-128.2842,1.37998983029541,-122.3665,1.0522146,5.877472e-39,59.96,-71.42505,15.4072663939096,-70.4614,1.00718692810458,-0.02,59.96,57.30199,7.52616779082655,-119.0037,1.0612502,-0.02,59.96,50.84449,4.25804772456521,-117.2175,1.0544704,-0.02,59.96,62.39344,3.76402959515421,-117.9352,1.063777
118.333,-0.02,59.959,66.24827,3.06933605917827,-119.6146,1.0607126,-0.01,59.959,-112.0284,6.63903908000269,-112.0705,1.0675328,-0.02,59.959,-128.0314,1.7654438811134,-119.441,1.0616434,-0.02,59.959,-109.7014,3.79856668825713,-116.9755,1.062292,-0.02,59.959,41.98054,2.13894418328296,-118.8693,1.0599296,-0.02,59.959,-116.7858,6.30209457615228,-119.0088,1.0604694,-0.02,59.959,-95.59614,1.89746252571711,-118.2828,1.062525,5.877472e-39,59.96,122.2686,5.79545895024262,-70.70271,1.00805908496732,-0.01,59.959,-128.7972,1.38109401268523,-122.8571,1.0522084,0.01,59.96,-71.89327,15.3999257893821,-70.94222,1.00719464052288,-0.01,59.959,56.81055,7.53057845820802,-119.4929,1.0612364,-0.02,59.959,50.39847,4.25151442891906,-117.7094,1.0544232,-0.02,59.959,61.93969,3.7627686621663,-118.4271,1.0637116
118.367,5.877472e-39,59.959,65.81435,3.07300714086491,-120.1072,1.0607612,5.877472e-39,59.959,-112.5073,6.63820423151344,-112.5555,1.0676108,5.877472e-39,59.959,-128.6658,1.76961812355964,-119.9301,1.0616988,5.877472e-39,59.959,-110.173,3.80126868751694,-117.4657,1.0622644,5.877472e-39,59.959,41.48426,2.14642664277166,-119.356,1.05993,5.877472e-39,59.959,-117.289,6.30587650909061,-119.4984,1.0604566,5.877472e-39,59.959,-96.10109,1.90271496979106,-118.7722,1.062551,5.877472e-39,59.96,121.7644,5.79121358979022,-71.18399,1.00805908496732,5.877472e-39,59.959,-129.3093,1.38230904632674,-123.3476,1.0522796,5.877472e-39,59.96,-72.37461,15.4024565754196,-71.42821,1.0072677124183,-0.01,59.959,56.2627,7.52564990763509,-119.9854,1.0612656,5.877472e-39,59.959,49.90012,4.25567481495884,-118.1961,1.0544312,5.877472e-39,59.959,61.48567,3.76174415411362,-118.9158,1.0637604
118.4,5.877472e-39,59.959,65.35702,3.06911522270031,-120.5911,1.0607416,0.01,59.96,-112.977,6.64560615063959,-113.039,1.0676136,5.877472e-39,59.959,-129.2336,1.76881705006114,-120.4186,1.0616774,0.01,59.959,-110.6439,3.80422789632167,-117.9477,1.0623292,5.877472e-39,59.959,40.90235,2.14211730036242,-119.8439,1.0599122,5.877472e-39,59.959,-117.7221,6.30841136544748,-119.9828,1.0604958,0.01,59.959,-96.70285,1.9036615355574,-119.2595,1.062595,0.01,59.96,121.3404,5.79545895024262,-71.66528,1.00799411764706,5.877472e-39,59.959,-129.8205,1.38363406519453,-123.8331,1.052242,0.01,59.96,-72.86649,15.402973332778,-71.90559,1.00719189542484,5.877472e-39,59.959,55.77064,7.51882216335165,-120.4708,1.0612872,0.01,59.959,49.4276,4.25492137285755,-118.684,1.0544206,5.877472e-39,59.959,60.97341,3.7672997070789,-119.4007,1.0637678
118.433,0.01,59.96,64.72128,3.0790901033011,-121.0732,1.0607374,0.03,59.96,-113.474,6.65791150560196,-113.5062,1.0677458,0.02,59.96,-129.5277,1.7772512714686,-120.8988,1.0617402,0.03,59.96,-111.2102,3.82129206087784,-118.4174,1.062365,0.03,59.96,40.52907,2.15641278170269,-120.3217,1.0599198,0.03,59.96,-118.2507,6.31781553530718,-120.4636,1.0604908,0.03,59.96,-97.203,1.90923527505615,-119.7347,1.0626068,5.877472e-39,59.96,120.8248,5.79545895024262,-72.14656,1.00805908496732,5.877472e-39,59.959,-130.1925,1.39216787952343,-124.3185,1.05228,5.877472e-39,59.96,-73.33599,15.4048018588155,-72.38571,1.00722967320261,0.01,59.96,55.31599,7.5149207189076,-120.9559,1.0612306,0.02,59.96,49.02318,4.27381371704111,-119.1616,1.0544386,0.03,59.96,60.47406,3.78647350951869,-119.8786,1.0637666
118.467,5.877472e-39,59.96,64.23273,3.08796599766448,-121.5552,1.0608082,0.01,59.961,-113.9691,6.67071742324772,-113.9696,1.0677408,0.01,59.96,-129.9864,1.78382527030873,-121.3803,1.0617836,0.01,59.961,-111.7807,3.83353073188412,-118.8901,1.0624366,5.877472e-39,59.96,40.04202,2.16436116285863,-120.8027,1.0599676,5.877472e-39,59.96,-118.7516,6.32301082170448,-120.9425,1.0605002,5.877472e-39,59.96,-97.83136,1.9183536565326,-120.2081,1.0626318,0.01,59.96,120.3664,5.80395099616628,-72.61639,1.00805908496732,5.877472e-39,59.96,-130.3462,1.40261647602008,-124.8023,1.0523312,0.01,59.96,-73.80534,15.40766389957,-72.86038,1.00725006535948,5.877472e-39,59.96,54.82247,7.50916164997243,-121.4377,1.0612832,5.877472e-39,59.96,48.48183,4.28938571982656,-119.6405,1.0544356,5.877472e-39,59.96,59.95934,3.80087984211064,-120.3547,1.0637794
118.5,0.01,59.96,63.86144,3.08784129000634,-122.0318,1.0607714,-0.02,59.961,-114.4347,6.67950325096912,-114.4451,1.0676452,5.877472e-39,59.96,-130.3821,1.7852836570887,-121.8616,1.0617482,-0.01,59.961,-112.2025,3.83963014880297,-119.3655,1.0623916,5.877472e-39,59.96,39.72758,2.1679239913698,-121.28,1.059969,5.877472e-39,59.96,-119.1828,6.32676071170287,-121.4229,1.0604902,-0.01,59.96,-98.19441,1.92081663278096,-120.686,1.0626014,0.01,59.96,119.9424,5.80395099616628,-73.09194,1.00792941176471,5.877472e-39,59.96,-130.9229,1.40940784723656,-125.2847,1.0522406,0.01,59.96,-74.28522,15.4025095761743,-73.33469,1.00715647058824,5.877472e-39,59.96,54.34936,7.5113041968214,-121.9192,1.0612566,5.877472e-39,59.96,48.08344,4.29121996163177,-120.1208,1.054412,5.877472e-39,59.96,59.48222,3.80410578673974,-120.8303,1.0637116
118.533,-0.01,59.96,63.3475,3.08942178636824,-122.5184,1.0607124,-0.03,59.96,-114.9221,6.67326613601106,-114.9319,1.0675608,-0.02,59.96,-130.7771,1.78682778038365,-122.3477,1.0616624,-0.03,59.96,-112.6772,3.83850691385427,-119.8518,1.0622214,-0.01,59.96,39.26965,2.17065023934091,-121.7687,1.0598526,-0.01,59.96,-119.6821,6.33285320041849,-121.908,1.0604288,-0.02,59.96,-98.65981,1.91901963006811,-121.1737,1.0625456,0.01,59.96,119.4268,5.79970563571388,-73.56749,1.00792941176471,-0.01,59.96,-131.2092,1.41285636039443,-125.7721,1.052259,5.877472e-39,59.96,-74.77679,15.4134277316449,-73.80905,1.00713189542484,-0.02,59.96,53.85496,7.50663805194581,-122.4056,1.06118,-0.02,59.96,47.61482,4.29157936217434,-120.6075,1.0543948,-0.01,59.96,59.03296,3.80435953218305,-121.3175,1.0636784
118.567,-0.01,59.959,62.83412,3.09125083202104,-123.0084,1.0606986,5.877472e-39,59.96,-115.3199,6.68154100874422,-115.4135,1.0675358,5.877472e-39,59.96,-131.2287,1.79371008426752,-122.8306,1.0616846,5.877472e-39,59.96,-113.1742,3.84578845544928,-120.3354,1.0623158,5.877472e-39,59.959,38.8129,2.17351418535122,-122.2541,1.0598454,5.877472e-39,59.959,-120.1991,6.33185120902631,-122.3965,1.0604114,5.877472e-39,59.959,-99.14995,1.92515715210473,-121.6564,1.0625384,5.877472e-39,59.96,118.9626,5.80395099616628,-74.03732,1.00792941176471,-0.01,59.959,-131.9209,1.41285636039443,-126.2599,1.0521998,5.877472e-39,59.96,-75.27894,15.4165017754181,-74.27813,1.00708588235294,5.877472e-39,59.959,53.32107,7.50033252098085,-122.8937,1.061241,5.877472e-39,59.96,47.14631,4.29222541712557,-121.0907,1.054333,5.877472e-39,59.96,58.55714,3.80809643180037,-121.7997,1.0636938
118.6,5.877472e-39,59.959,62.40818,3.0962988940997,-123.4966,1.0607006,5.877472e-39,59.96,-115.8347,6.68077371023647,-115.8961,1.0674902,5.877472e-39,59.96,-131.7337,1.78842126712661,-123.3184,1.0616586,5.877472e-39,59.96,-113.6484,3.84520475432713,-120.8232,1.0622044,5.877472e-39,59.959,38.35738,2.17651669542615,-122.7412,1.0598216,5.877472e-39,59.959,-120.6286,6.33680141023435,-122.8815,1.0603486,5.877472e-39,59.96,-99.61509,1.92362082303842,-122.1439,1.0624814,5.877472e-39,59.96,118.4986,5.80395099616628,-74.50714,1.00786470588235,5.877472e-39,59.959,-132.204,1.41642698313423,-126.7511,1.0521894,5.877472e-39,59.96,-75.7142,15.4145142471164,-74.74722,1.00710718954248,5.877472e-39,59.959,52.79256,7.50706240439366,-123.3817,1.061225,5.877472e-39,59.959,46.65673,4.29847465643928,-121.5804,1.0542806,5.877472e-39,59.959,58.10851,3.80883082134278,-122.2899,1.0636272
118.633,5.877472e-39,59.959,61.8966,3.09858087103867,-123.9815,1.0606558,5.877472e-39,59.96,-116.3363,6.6882414472933,-116.3767,1.0674632,5.877472e-39,59.959,-132.1268,1.79025464290642,-123.8046,1.0616478,5.877472e-39,59.96,-114.078,3.84705371856421,-121.3061,1.0621426,5.877472e-39,59.959,38.0476,2.18042680012423,-123.2298,1.0597814,5.877472e-39,59.959,-121.1452,6.33674338653229,-123.3683,1.060269,5.877472e-39,59.96,-100.0809,1.92221179970646,-122.6297,1.06244,5.877472e-39,59.961,118.0287,5.80819635661868,-74.97697,1.00786470588235,5.877472e-39,59.959,-132.7659,1.4236721516623,-127.2409,1.0521928,5.877472e-39,59.961,-76.18279,15.4165945267389,-75.21628,1.00710470588235,5.877472e-39,59.959,52.31325,7.49902482262114,-123.8697,1.0611316,5.877472e-39,59.959,46.2602,4.30125806208704,-122.0651,1.0542764,5.877472e-39,59.959,57.66006,3.80979990376962,-122.7735,1.0635472
118.667,5.877472e-39,59.959,61.4393,3.09637337228442,-124.4716,1.060565,5.877472e-39,59.96,-116.8506,6.6885384940068,-116.8665,1.067398,5.877472e-39,59.959,-132.6353,1.7852152410818,-124.2924,1.061621,5.877472e-39,59.959,-114.488,3.84094564139132,-121.7955,1.062091,5.877472e-39,59.959,37.48822,2.17192676078609,-123.7168,1.0597566,5.877472e-39,59.959,-121.5736,6.34247647470534,-123.8584,1.0602354,5.877472e-39,59.959,-100.5474,1.92092921608346,-123.1172,1.0623822,5.877472e-39,59.961,117.599,5.80395099616628,-75.44679,1.00786470588235,5.877472e-39,59.959,-133.0447,1.42734583142515,-127.7312,1.0521192,5.877472e-39,59.961,-76.66206,15.4228088652288,-75.6828,1.00703163398693,5.877472e-39,59.959,51.81716,7.49666490339583,-124.3578,1.0611154,5.877472e-39,59.959,45.72199,4.3012260191471,-122.5547,1.054223,5.877472e-39,59.959,57.23733,3.80771191652109,-123.2621,1.0635738
118.7,5.877472e-39,59.959,60.92856,3.09912300294144,-124.9583,1.0605812,-0.02,59.959,-117.3391,6.68470113544263,-117.3564,1.0674108,5.877472e-39,59.959,-133.1984,1.78562920122481,-124.7787,1.0616088,-0.01,59.959,-115.0532,3.83684847520602,-122.2883,1.062085,5.877472e-39,59.959,36.88924,2.17465474080801,-124.2055,1.0597162,5.877472e-39,59.959,-122.134,6.34076434248206,-124.3485,1.0602796,-0.01,59.959,-101.0145,1.91977393819481,-123.608,1.0623708,5.877472e-39,59.961,117.0776,5.81244171707108,-75.90516,1.00786470588235,5.877472e-39,59.959,-133.4719,1.42414846563438,-128.2216,1.0521226,5.877472e-39,59.961,-77.14089,15.4300964690017,-76.14935,1.00702522875817,5.877472e-39,59.959,51.34488,7.50205591153438,-124.8476,1.0610844,5.877472e-39,59.959,45.20319,4.29621692821161,-123.0426,1.054185,-0.01,59.959,56.66483,3.80083654084045,-123.7557,1.0635548
118.733,5.877472e-39,59.959,60.61139,3.09537311294305,-125.4503,1.060554,5.877472e-39,59.959,-117.8281,6.68134961712998,-117.8486,1.0673116,5.877472e-39,59.959,-133.7112,1.78088771213909,-125.2701,1.061553,5.877472e-39,59.959,-115.5114,3.82911400232482,-122.7809,1.0620032,5.877472e-39,59.959,36.45333,2.17272090608136,-124.6943,1.059753,5.877472e-39,59.959,-122.5825,6.33983163312219,-124.8338,1.060214,5.877472e-39,59.959,-101.5922,1.91459250820396,-124.1005,1.062345,5.877472e-39,59.961,116.7109,5.81244171707108,-76.37498,1.00773516339869,5.877472e-39,59.959,-133.9009,1.42102990815535,-128.7092,1.0520746,5.877472e-39,59.961,-77.58736,15.4290497040961,-76.61617,1.00690261437908,5.877472e-39,59.959,50.79411,7.50400793279451,-125.3359,1.0610682,5.877472e-39,59.959,44.68322,4.29156117564086,-123.5322,1.0541308,5.877472e-39,59.959,56.24064,3.79923699191966,-124.246,1.0634904
118.767,5.877472e-39,59.959,60.01243,3.09574203976506,-125.9406,1.0605418,5.877472e-39,59.959,-118.2617,6.6890425207918,-118.3377,1.0673272,5.877472e-39,59.959,-134.0546,1.77780639375242,-125.7566,1.0615406,5.877472e-39,59.959,-116.0185,3.83289593526315,-123.2719,1.0620926,-0.01,59.959,35.87096,2.17033760417014,-125.1881,1.0597464,-0.01,59.959,-123.0539,6.34423450627503,-125.3274,1.0602294,5.877472e-39,59.959,-101.9377,1.91001036779254,-124.5929,1.0623978,5.877472e-39,59.961,116.2354,5.80819635661868,-76.83908,1.00779986928105,-0.01,59.959,-134.4521,1.42868297464859,-129.2017,1.052143,5.877472e-39,59.961,-78.04324,15.4380863327744,-77.0827,1.00702980392157,-0.01,59.959,50.36283,7.51243002984632,-125.8276,1.0611006,-0.01,59.959,44.21585,4.29400076920333,-124.0268,1.0541856,5.877472e-39,59.959,55.74161,3.79956867964931,-124.7364,1.063504
118.8,0.02,59.959,59.50307,3.09917756254187,-126.4212,1.060536,0.03,59.96,-118.8001,6.69610235988345,-118.8134,1.0674098,0.02,59.96,-134.8388,1.78254701681274,-126.2417,1.0615416,0.04,59.96,-116.5089,3.84210611543239,-123.7495,1.0620734,0.02,59.959,35.40575,2.17974870223307,-125.6706,1.0596866,0.02,59.959,-123.5694,6.34659355947494,-125.8097,1.0601916,0.03,59.96,-102.5309,1.91298343300373,-125.069,1.062366,0.01,59.961,115.6796,5.81244171707108,-77.29745,1.00786470588235,0.02,59.959,-134.7254,1.43255843833053,-129.6853,1.052054,0.01,59.962,-78.48945,15.4389343448498,-77.53641,1.00707647058824,0.01,59.959,49.86738,7.51228107347687,-126.3113,1.0610496,0.03,59.959,43.65966,4.30080339875005,-124.5047,1.0541588,0.03,59.96,55.14478,3.805309562051,-125.2168,1.063528
118.833,0.01,59.96,59.04464,3.09800409811975,-126.9017,1.060605,5.877472e-39,59.96,-119.2645,6.68943656235052,-119.2902,1.0674714,0.01,59.96,-135.4016,1.7836356107453,-126.7203,1.0615192,5.877472e-39,59.96,-117.0294,3.84135960153433,-124.2271,1.062128,0.01,59.96,34.96974,2.17824268405589,-126.1496,1.0597298,5.877472e-39,59.96,-124.0394,6.3518936349461,-126.2919,1.0602286,5.877472e-39,59.96,-103.0008,1.91237115304326,-125.5499,1.0624418,0.01,59.961,115.2384,5.81668840254235,-77.75581,1.00786470588235,0.01,59.96,-135.3698,1.42826208630235,-130.1668,1.0521282,0.01,59.962,-78.99039,15.4447511776794,-77.99826,1.00705607843137,0.01,59.96,49.41187,7.51453533760292,-126.7916,1.0611016,5.877472e-39,59.96,43.17714,4.30927139514826,-124.9827,1.0542054,5.877472e-39,59.96,54.64677,3.80627344832541,-125.6957,1.0635638
