Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m
0.333,-0.01291911,60.00011,34.88768,5.61788691040638,39.16195,1.03921101449275,-0.001449586,59.99967,-165.934,0.0253786036085272,18.72454,0.998978607767946,5.877472e-39,60.002,-11.96571,2.34060872942307,14.17468,1.0226768627451,-0.007960004,60.0004,33.10171,9.2265451914952,30.2979,1.01923971014493,-0.01828512,60.00042,-156.9558,1.8305045505277,27.20432,1.01673507246377,-0.01093546,60.00049,24.35671,5.56823406268149,23.17642,1.03300608695652,5.877472e-39,60.003,-10.70995,2.19348790947573,14.28518,1.02213738562091,5.877472e-39,60.003,-75.96375,0.769934948889754,110.8952,1.03613275362319
0.367,-0.0113678,59.99969,34.91632,5.61788631284885,39.1562,1.03914202898551,-0.005645753,59.99957,-167.0169,0.0253786036085272,18.71308,0.998978607767946,5.877472e-39,60.001,-11.96571,2.34060872942307,14.17908,1.02304235294118,-0.01121521,60.00002,33.10888,9.22882188567921,30.28733,1.0191884057971,-0.01467387,59.99989,-157.0245,1.8305045505277,27.19285,1.01666608695652,-0.01492818,59.99992,24.34525,5.56823406268149,23.17069,1.03293710144928,5.877472e-39,60.002,-10.70995,2.19348790947573,14.28538,1.02243058823529,5.877472e-39,60.003,-75.96375,0.769934948889754,110.9178,1.03609217391304
0.4,-0.005823772,59.99946,34.94497,5.61788691040638,39.14475,1.03907333333333,5.877472e-39,59.99945,-168.1858,0.0253786061911916,18.70734,0.998914896499367,5.877472e-39,60.001,-11.96571,2.34060872942307,14.19977,1.02325699346405,-0.007553101,59.99971,33.09475,9.22997517170943,30.27867,1.01919710144928,-0.008112593,59.99956,-157.0589,1.83305731628992,27.18712,1.01666608695652,-0.00734965,59.99949,24.34526,5.57078682844371,23.17069,1.03293710144928,5.877472e-39,60.002,-10.70995,2.19348790947573,14.31012,1.02257176470588,5.877472e-39,60.003,-75.96375,0.769934948889754,110.963,1.0360115942029
0.433,-0.003382367,59.99934,34.93351,5.61788631284885,39.1333,1.03893507246377,5.877472e-39,59.9995,-169.091,0.0242751860603304,18.70162,0.99878747396221,5.877472e-39,60.001,-11.96571,2.34060872942307,14.24081,1.02324692810458,-0.008824671,59.99944,33.06649,9.23228771934515,30.27098,1.01895739130435,-0.005086258,59.99937,-157.0475,1.83305731628992,27.16993,1.01645913043478,-0.002085369,59.99891,24.35098,5.56823406268149,23.15923,1.03279913043478,5.877472e-39,60.002,-10.70995,2.19348790947573,14.35117,1.02256326797386,5.877472e-39,60.003,-75.96375,0.769934948889754,111.0047,1.0361031884058
0.467,-0.004272462,59.99921,34.90486,5.62171665660725,39.12183,1.0387284057971,-0.02128601,59.9991,-168.6556,0.0231717659294691,18.69016,0.998660051425053,5.877472e-39,60,-11.96571,2.34060872942307,14.23304,1.02383516339869,-0.005340579,59.99922,33.03107,9.23232357279687,30.25463,1.01872637681159,-0.007832843,59.99915,-157.0303,1.83561008205215,27.15275,1.01618347826087,-0.003509522,59.99788,24.35672,5.56568069936173,23.14203,1.03259246376812,5.877472e-39,60.001,-9.443954,2.21112656064375,14.33089,1.02293385620915,5.877472e-39,60.003,-74.29135,0.775927255786667,111.0273,1.03606376811594
0.5,-0.004094441,59.99905,34.90486,5.62171665660725,39.10464,1.0387284057971,-0.0006103562,59.99879,-168.667,0.0242751860603304,18.67297,0.998596340156475,5.877472e-39,60,-11.96571,2.34060872942307,14.21641,1.02354614379085,-0.005162558,59.99903,33.04519,9.23117028676665,30.24021,1.01855536231884,-0.008265171,59.99885,-157.0532,1.83561008205215,27.12983,1.01604550724638,-0.01057942,59.99814,24.34525,5.5656801018042,23.13058,1.03252347826087,5.877472e-39,60.001,-10.70995,2.19348790947573,14.33089,1.02293385620915,5.877472e-39,60.002,-74.29135,0.775927255786667,111.0499,1.03602405797101
0.533,-0.001907351,59.99898,34.91059,5.62171665660725,39.09319,1.03865971014493,5.877472e-39,59.99878,-168.7587,0.0253786036085272,18.66151,0.998596340156475,5.877472e-39,60,-11.96571,2.34060872942307,14.24496,1.02331947712418,-0.001271563,59.99899,33.03107,9.23232357279687,30.22818,1.01859826086957,-0.006866448,59.99862,-157.1219,1.83561008205215,27.11264,1.01597652173913,NaN,NaN,NaN,NaN,NaN,NaN,5.877472e-39,60.001,-10.70995,2.19348790947573,14.35533,1.02263568627451,5.877472e-39,60.003,-74.29135,0.775927255786667,111.0915,1.0361168115942
0.567,-5.087117e-05,59.99895,34.87622,5.61788691040638,39.08173,1.03859072463768,5.877472e-39,59.99876,-167.418,0.024275183477666,18.64433,0.998596340156475,5.877472e-39,60,-11.96571,2.34060872942307,14.2863,1.02374967320261,-0.0007883739,59.99893,33.01694,9.23348283440238,30.21567,1.01848724637681,-0.002797453,59.99847,-157.1391,1.83561008205215,27.09544,1.01590782608696,-0.005772914,59.99823,24.29941,5.57078682844371,23.10766,1.03252347826087,5.877472e-39,60.001,-10.70995,2.19348790947573,14.3925,1.02299490196078,5.877472e-39,60.003,-74.29135,0.775927255786667,111.1368,1.03603855072464
0.6,-0.002543125,59.9989,34.85329,5.61788631284885,39.06453,1.03845275362319,0.009384155,59.99897,-165.0173,0.0231717659294691,18.63287,0.998468246974385,5.877472e-39,60,-11.96571,2.34060872942307,14.26179,1.02390183006536,-0.00345866,59.99887,33.01002,9.23691879019189,30.20316,1.01837623188406,-0.002797432,59.99838,-157.1277,1.83561008205215,27.07253,1.01576985507246,-0.0004831958,59.99892,24.31087,5.57334019176347,23.0962,1.03238550724638,5.877472e-39,60.001,-10.70995,2.19348790947573,14.37627,1.02329111111111,5.877472e-39,60.002,-74.29135,0.775927255786667,111.1557,1.03617130434783
0.633,-5.087117e-05,59.99887,34.83037,5.62171605904972,39.04735,1.0383147826087,-0.0100708,59.9988,-163.4531,0.0220683509639367,18.61567,0.998404535705807,5.877472e-39,60,-11.96571,2.34060872942307,14.27416,1.0239722875817,1.396984e-08,59.99884,32.99591,9.2380780517974,30.18005,1.01821420289855,-0.0005849171,59.99834,-157.1678,1.83305731628992,27.04961,1.0156315942029,-0.0003051781,59.99875,24.29941,5.57078682844371,23.07328,1.03224782608696,5.877472e-39,60.001,-10.70995,2.19348790947573,14.38446,1.02328954248366,5.877472e-39,60.002,-74.29135,0.775927255786667,111.1784,1.03613275362319
