Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m,P009.df,P009.f,P009.ip_a,P009.ip_m,P009.vp_a,P009.vp_m
0,-0.02,59.991,-145.6866,2.28753335796268,-146.395,1.0652228,-0.01,59.991,-151.8642,4.94767761000522,-148.1816,1.052125,-0.01,59.992,15.40874,1.66199631524696,-150.2228,1.02387260869565,-0.01,59.991,-155.5158,2.59833515294905,-150.7164,1.0427784,-0.01,59.992,-7.542946,1.00795137900744,-148.9883,1.0547948,-0.02,59.991,-133.4588,5.20486204019249,-141.7589,1.0668892,-0.02,59.991,-158.6509,4.05883330285647,-146.6163,1.064695,-0.01,59.992,36.53353,8.7729332959511,-148.4703,1.01240695652174,-0.01,59.991,40.99881,8.55241395648894,-148.3064,1.0456368
0.033,5.877472e-39,59.991,-145.8151,2.28158722754029,-146.4991,1.0652408,0.01,59.992,-151.9284,4.94786120739083,-148.2793,1.0521386,5.877472e-39,59.992,15.33713,1.66077928974702,-150.3231,1.02388086956522,0.01,59.992,-155.6375,2.5988746867756,-150.8149,1.0428022,5.877472e-39,59.992,-7.671478,1.00501988301563,-149.0857,1.0547646,5.877472e-39,59.991,-133.669,5.21079691228463,-141.8631,1.066819,5.877472e-39,59.991,-158.7402,4.05418621053976,-146.7205,1.0647206,0.01,59.992,36.44881,8.77402881808689,-148.5678,1.01236260869565,5.877472e-39,59.991,40.9211,8.55393556312339,-148.4086,1.0456524
0.067,5.877472e-39,59.991,-145.8049,2.27605245918471,-146.6033,1.0652624,5.877472e-39,59.992,-151.9926,4.94805086695425,-148.3845,1.0520824,5.877472e-39,59.992,15.22358,1.66164415467677,-150.4278,1.02385347826087,5.877472e-39,59.992,-155.7593,2.59942634495782,-150.9173,1.0427614,5.877472e-39,59.992,-7.838067,1.00728540547193,-149.1906,1.0547356,0.01,59.991,-133.7276,5.20923979860862,-141.9679,1.0668206,0.01,59.992,-158.8177,4.05503404941007,-146.8208,1.0646846,5.877472e-39,59.992,36.33282,8.77203695965819,-148.6692,1.01231956521739,5.877472e-39,59.992,40.79473,8.55408451949284,-148.5144,1.0456006
0.1,5.877472e-39,59.991,-145.9541,2.28118972187996,-146.7035,1.0652224,5.877472e-39,59.992,-152.0592,4.94270056200967,-148.4859,1.0521006,5.877472e-39,59.991,15.15181,1.66043390149549,-150.5281,1.02382869565217,5.877472e-39,59.992,-155.8935,2.59446748349575,-151.0158,1.0427918,5.877472e-39,59.992,-7.671478,1.00501988301563,-149.2881,1.0547808,5.877472e-39,59.991,-133.7691,5.20235836075015,-142.069,1.066835,5.877472e-39,59.992,-158.9073,4.05040514362684,-146.9213,1.0647206,0.01,59.992,36.24632,8.77571393031757,-148.7668,1.01235,5.877472e-39,59.992,40.72168,8.55201212070158,-148.6127,1.0456246
0.133,5.877472e-39,59.991,-146.0932,2.28080434057527,-146.8076,1.0652508,5.877472e-39,59.991,-152.1853,4.94865795076231,-148.5873,1.0520532,5.877472e-39,59.991,14.98164,1.66174972317349,-150.6328,1.02380782608696,-0.01,59.991,-156.0026,2.60056343631298,-151.1181,1.0428264,5.877472e-39,59.991,-7.967545,1.00436603383577,-149.393,1.0547586,5.877472e-39,59.991,-133.9623,5.20306243940343,-142.1738,1.0668438,5.877472e-39,59.991,-158.9849,4.05126770492901,-147.0253,1.0646876,-0.01,59.992,36.14688,8.77406068782175,-148.8722,1.01231130434783,5.877472e-39,59.992,40.61509,8.55654489766499,-148.7148,1.0456502
0.167,5.877472e-39,59.991,-146.2323,2.28043281567705,-146.9079,1.0652176,5.877472e-39,59.991,-152.3163,4.94354840087998,-148.6887,1.0520088,5.877472e-39,59.991,14.92497,1.66219151737298,-150.7331,1.02378913043478,5.877472e-39,59.991,-156.0154,2.59504339038926,-151.2206,1.0427266,5.877472e-39,59.991,-7.967545,1.00436603383577,-149.4978,1.0546708,-0.01,59.991,-134.0798,5.20000710177888,-142.2781,1.0667874,5.877472e-39,59.991,-159.1523,4.0475368674895,-147.1293,1.0646578,5.877472e-39,59.991,36.0439,8.77751058662026,-148.9736,1.01227782608696,5.877472e-39,59.991,40.48877,8.55679431298128,-148.8168,1.0456102
0.2,-0.01,59.991,-146.2323,2.28043281567705,-147.0155,1.0651806,-0.01,59.991,-152.3806,4.94377529953577,-148.7977,1.0520338,-0.01,59.991,14.79636,1.66143739977187,-150.8378,1.0238147826087,5.877472e-39,59.991,-156.1373,2.59563142163843,-151.3267,1.0427696,-0.01,59.991,-8.133575,1.00664627872394,-149.6028,1.0547248,5.877472e-39,59.991,-134.1386,5.19848722719523,-142.3828,1.0668032,-0.01,59.991,-159.2299,4.04842281147758,-147.2371,1.0646976,-0.01,59.991,35.96102,8.77617604147303,-149.079,1.0123147826087,-0.01,59.991,40.41119,8.55841897663878,-148.9227,1.0456408
0.233,5.877472e-39,59.991,-146.5107,2.27973046907458,-147.1233,1.065216,5.877472e-39,59.991,-152.5091,4.94424901543164,-148.903,1.052064,5.877472e-39,59.991,14.68314,1.6623333376931,-150.9448,1.0238047826087,5.877472e-39,59.991,-156.259,2.59623071121785,-151.4328,1.042747,5.877472e-39,59.991,-8.133575,1.00664627872394,-149.7077,1.0547132,5.877472e-39,59.991,-134.273,5.20080644322657,-142.4913,1.0668134,5.877472e-39,59.991,-159.3849,4.05021808213962,-147.3411,1.064675,5.877472e-39,59.991,35.84496,8.77433954800177,-149.1844,1.01228695652174,5.877472e-39,59.991,40.31371,8.55575768057295,-149.0285,1.0456064
0.267,5.877472e-39,59.991,-146.6499,2.27939964737033,-147.2312,1.0652552,5.877472e-39,59.991,-152.6376,4.94474784606422,-149.0082,1.0520288,5.877472e-39,59.991,14.61102,1.66114300309611,-151.0518,1.02383826086957,5.877472e-39,59.991,-156.3808,2.59684125912752,-151.5427,1.042799,5.877472e-39,59.991,-8.429443,1.00603486478887,-149.8126,1.054705,5.877472e-39,59.991,-134.3318,5.19930475517641,-142.5993,1.066759,5.877472e-39,59.991,-159.4753,4.04565326223627,-147.4489,1.0646528,5.877472e-39,59.991,35.74544,8.77279386586109,-149.2937,1.01233,5.877472e-39,59.991,40.18301,8.55974745960818,-149.1344,1.0456444
0.3,5.877472e-39,59.991,-146.6499,2.27939964737033,-147.3351,1.0652326,5.877472e-39,59.991,-152.7018,4.94500592163455,-149.1134,1.0520662,5.877472e-39,59.991,14.44135,1.66250503588965,-151.1566,1.0237947826087,5.877472e-39,59.991,-156.5024,2.59746393139284,-151.6451,1.0427818,5.877472e-39,59.991,-8.560791,1.00313887583861,-149.9176,1.0547006,5.877472e-39,59.991,-134.4497,5.19631783355875,-142.7077,1.0667768,5.877472e-39,59.991,-159.6302,4.04749529827012,-147.553,1.0647066,5.877472e-39,59.991,35.6426,8.77635530873162,-149.399,1.01230869565217,5.877472e-39,59.991,40.08548,8.55714418724441,-149.2402,1.045548
0.333,5.877472e-39,59.991,-146.6499,2.27939964737033,-147.4428,1.0652104,-0.01,59.991,-152.8303,4.94554199135949,-149.2223,1.052037,5.877472e-39,59.991,14.3284,1.66342129076686,-151.2658,1.02379608695652,5.877472e-39,59.991,-156.6382,2.59258561029332,-151.7551,1.0427722,5.877472e-39,59.991,-8.725662,1.00544943161591,-150.0262,1.0546996,5.877472e-39,59.991,-134.5839,5.19870373354618,-142.8125,1.0668074,5.877472e-39,59.991,-159.7077,4.04842714160459,-147.6606,1.064623,5.877472e-39,59.991,35.54467,8.77231980355506,-149.5044,1.01229130434783,5.877472e-39,59.991,39.98359,8.55820853246566,-149.3498,1.0455924
0.367,5.877472e-39,59.991,-146.7892,2.27908181604714,-147.5504,1.0651918,5.877472e-39,59.991,-152.8913,4.95136168207292,-149.3275,1.0520126,5.877472e-39,59.991,14.19962,1.66270621359095,-151.3705,1.02379913043478,5.877472e-39,59.991,-156.7456,2.59874391693963,-151.8613,1.0427642,5.877472e-39,59.991,-8.725662,1.00544943161591,-150.1349,1.0547024,5.877472e-39,59.991,-134.702,5.19576357730033,-142.9205,1.0667642,5.877472e-39,59.991,-159.7851,4.0493667791677,-147.7684,1.0646812,5.877472e-39,59.991,35.42532,8.77569401173329,-149.6097,1.01220782608696,5.877472e-39,59.991,39.88597,8.5556546235499,-149.4557,1.0455722
0.4,0.01,59.991,-146.7892,2.27908181604714,-147.6542,1.065111,5.877472e-39,59.991,-153.0229,4.9463915622806,-149.4364,1.0519222,5.877472e-39,59.991,14.07072,1.66199950222045,-151.4776,1.02372739130435,5.877472e-39,59.991,-156.7456,2.59874391693963,-151.9677,1.0426218,5.877472e-39,59.991,-9.022232,1.00489084523047,-150.2398,1.0546396,5.877472e-39,59.991,-134.7771,5.19965722751575,-143.0285,1.0667248,5.877472e-39,59.991,-159.9398,4.05126770492901,-147.8759,1.0645362,5.877472e-39,59.991,35.32729,8.77171826230959,-149.719,1.01219652173913,5.877472e-39,59.991,39.77988,8.56041862929612,-149.5615,1.0454866
0.433,5.877472e-39,59.991,-146.936,2.28431953768923,-147.7619,1.0651,5.877472e-39,59.991,-153.1513,4.94698911980921,-149.5416,1.051905,5.877472e-39,59.991,13.94172,1.66130155502703,-151.5846,1.02369869565217,5.877472e-39,59.991,-156.9885,2.60007153388363,-152.0738,1.04269,5.877472e-39,59.991,-9.185745,1.00722478369366,-150.3485,1.0546498,5.877472e-39,59.991,-134.9111,5.20211240953548,-143.1369,1.0667578,5.877472e-39,59.991,-160.0307,4.04676437282933,-147.9837,1.0646018,5.877472e-39,59.991,35.21104,8.77007697096434,-149.8283,1.01212,5.877472e-39,59.991,39.68224,8.55791754792999,-149.6711,1.0454732
0.467,5.877472e-39,59.991,-147.0679,2.27848685659474,-147.8696,1.0650926,5.877472e-39,59.991,-153.2155,4.94729742485296,-149.6506,1.0518908,5.877472e-39,59.991,13.86903,1.66013791133298,-151.6939,1.0237147826087,5.877472e-39,59.991,-157.125,2.59524517430834,-152.1839,1.0426264,5.877472e-39,59.991,-9.185745,1.00722478369366,-150.4572,1.054664,5.877472e-39,59.991,-135.0292,5.1992337410933,-143.2449,1.066726,0.01,59.991,-160.1081,4.04773432128157,-148.0913,1.0645332,5.877472e-39,59.991,35.09475,8.76847153307081,-149.9376,1.01211608695652,5.877472e-39,59.991,39.55187,8.56212296729076,-149.7807,1.0454638
0.5,5.877472e-39,59.991,-147.2141,2.28375315707516,-147.981,1.0650868,-0.01,59.991,-153.3438,4.94793308749934,-149.7596,1.0519494,5.877472e-39,59.991,13.6834,1.65993035968471,-151.8009,1.02369347826087,-0.01,59.991,-157.125,2.59524517430834,-152.2939,1.0426358,5.877472e-39,59.991,-9.482025,1.00670776652761,-150.5659,1.0546128,5.877472e-39,59.991,-135.1631,5.20174261668806,-143.3493,1.0667062,5.877472e-39,59.991,-160.2627,4.04969760087195,-148.1991,1.0645374,5.877472e-39,59.991,34.99358,8.76966664812803,-150.0429,1.01211565217391,5.877472e-39,59.991,39.45418,8.55967990962669,-149.8866,1.0454582
0.533,5.877472e-39,59.991,-147.3467,2.27794645674278,-148.0885,1.0650182,5.877472e-39,59.991,-153.4721,4.94859213283162,-149.8685,1.051874,5.877472e-39,59.991,13.58729,1.66252256424383,-151.9102,1.02367695652174,5.877472e-39,59.991,-157.3681,2.59664553738626,-152.4003,1.042577,5.877472e-39,59.991,-9.482025,1.00670776652761,-150.6746,1.0546346,5.877472e-39,59.991,-135.2813,5.19891071361768,-143.4573,1.0666822,5.877472e-39,59.991,-160.34,4.05069006598468,-148.3067,1.0644764,5.877472e-39,59.991,34.89102,8.77343524427514,-150.1522,1.01211869565217,5.877472e-39,59.991,39.35643,8.55726110067392,-149.9962,1.045456
0.567,5.877472e-39,59.991,-147.3467,2.27794645674278,-148.1999,1.06502,5.877472e-39,59.991,-153.5363,4.9489316147899,-149.9812,1.0518714,5.877472e-39,59.991,13.49773,1.65974033639061,-152.0195,1.02366434782609,-0.01,59.991,-157.3681,2.59664553738626,-152.5179,1.0425998,-0.01,59.991,-9.482025,1.00670776652761,-150.7833,1.054591,-0.01,59.991,-135.4151,5.20147328278748,-143.569,1.0666538,5.877472e-39,59.991,-160.4172,4.05168945930065,-148.4181,1.0644862,-0.01,59.991,34.77333,8.77447101065806,-150.2654,1.01205695652174,5.877472e-39,59.991,39.22622,8.56157650526097,-150.1096,1.0453892
